colour	x	y	group	showSelectedlegendcolour	PANEL
#7F7F7F	27	42	1	train	4
#7F7F7F	28	36	1	train	4
#7F7F7F	29	30	1	train	4
#7F7F7F	30	28	1	train	4
#7F7F7F	31	30	1	train	4
#7F7F7F	32	36	1	train	4
#7F7F7F	33	42	1	train	4
#7F7F7F	34	42	1	train	4
#7F7F7F	35	50	1	train	4
#7F7F7F	36	50	1	train	4
#7F7F7F	37	50	1	train	4
#7F7F7F	38	48	1	train	4
#7F7F7F	39	42	1	train	4
#7F7F7F	40	42	1	train	4
#7F7F7F	41	42	1	train	4
#7F7F7F	42	42	1	train	4
#7F7F7F	43	42	1	train	4
#7F7F7F	44	42	1	train	4
#7F7F7F	45	42	1	train	4
#7F7F7F	46	42	1	train	4
#7F7F7F	47	42	1	train	4
#7F7F7F	48	42	1	train	4
#7F7F7F	49	42	1	train	4
#7F7F7F	50	42	1	train	4
#000000	1	28	2	validation	4
#000000	2	24	2	validation	4
#000000	3	26	2	validation	4
#000000	4	24	2	validation	4
#000000	5	22	2	validation	4
#000000	6	24	2	validation	4
#000000	7	20	2	validation	4
#000000	8	22	2	validation	4
#000000	9	22	2	validation	4
#000000	10	24	2	validation	4
#000000	11	26	2	validation	4
#000000	12	26	2	validation	4
#000000	13	26	2	validation	4
#000000	14	24	2	validation	4
#000000	15	26	2	validation	4
#000000	16	28	2	validation	4
#000000	17	26	2	validation	4
#000000	18	26	2	validation	4
#000000	19	28	2	validation	4
#000000	20	30	2	validation	4
#000000	21	26	2	validation	4
#000000	22	26	2	validation	4
#000000	23	28	2	validation	4
#000000	24	34	2	validation	4
#000000	25	26	2	validation	4
#000000	26	38	2	validation	4
#000000	27	46	2	validation	4
#000000	28	38	2	validation	4
#000000	29	34	2	validation	4
#000000	30	32	2	validation	4
#000000	31	32	2	validation	4
#000000	32	44	2	validation	4
#000000	33	42	2	validation	4
#000000	34	48	2	validation	4
#000000	35	48	2	validation	4
#000000	36	46	2	validation	4
#000000	37	48	2	validation	4
#000000	38	44	2	validation	4
#000000	39	42	2	validation	4
#000000	40	42	2	validation	4
#000000	41	42	2	validation	4
#000000	42	42	2	validation	4
#000000	43	42	2	validation	4
#000000	44	42	2	validation	4
#000000	45	42	2	validation	4
#000000	46	42	2	validation	4
#000000	47	42	2	validation	4
#000000	48	42	2	validation	4
#000000	49	42	2	validation	4
#000000	50	42	2	validation	4
